mode: set
prime/nth_prime.go:8.30,9.12 1 1
prime/nth_prime.go:9.12,11.3 1 0
prime/nth_prime.go:13.2,13.12 1 1
prime/nth_prime.go:13.12,15.3 1 0
prime/nth_prime.go:17.2,19.6 3 1
prime/nth_prime.go:19.6,20.17 1 1
prime/nth_prime.go:20.17,22.4 1 1
prime/nth_prime.go:24.3,24.22 1 1
prime/nth_prime.go:24.22,25.9 1 1
prime/nth_prime.go:28.3,28.9 1 1
prime/nth_prime.go:31.2,31.24 1 1
prime/nth_prime.go:34.26,37.25 2 1
prime/nth_prime.go:37.25,38.15 1 1
prime/nth_prime.go:38.15,40.4 1 1
prime/nth_prime.go:42.3,42.18 1 1
prime/nth_prime.go:42.18,44.4 1 1
prime/nth_prime.go:47.2,47.13 1 1
